Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,source_name,SRA Study,Strain,tissue_preparation,TISSUE,AssemblyName,intentional_duplicate (run)
SRR11773226,6-8 weeks,RNA-Seq,100,3809429000,PRJNA631784,SAMN14891806,1900476350,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326303,GSM4547046,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:29:00Z,1,GSM4547046,male,OMCD,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773227,6-8 weeks,RNA-Seq,100,3724604100,PRJNA631784,SAMN14891805,1823418791,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326304,GSM4547047,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:33:00Z,1,GSM4547047,male,OMCD,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773228,6-8 weeks,RNA-Seq,100,3629577600,PRJNA631784,SAMN14891804,1764352027,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326305,GSM4547048,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:29:00Z,1,GSM4547048,male,OMCD,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773229,6-8 weeks,RNA-Seq,100,4148657400,PRJNA631784,SAMN14891803,2016561843,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326375,GSM4547049,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:43:00Z,1,GSM4547049,male,OMCD,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773230,6-8 weeks,RNA-Seq,100,4050629600,PRJNA631784,SAMN14891802,2005100287,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326376,GSM4547050,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:40:00Z,1,GSM4547050,male,OMCD,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773231,6-8 weeks,RNA-Seq,100,4429227700,PRJNA631784,SAMN14891801,2148494283,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326377,GSM4547051,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T19:17:00Z,1,GSM4547051,male,OMCD,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773232,6-8 weeks,RNA-Seq,100,4154147900,PRJNA631784,SAMN14891800,2016566395,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326378,GSM4547052,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:25:00Z,1,GSM4547052,male,OMCD,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773233,6-8 weeks,RNA-Seq,100,4530290200,PRJNA631784,SAMN14891799,2070462557,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326379,GSM4547053,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:32:00Z,1,GSM4547053,male,CNT,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773234,6-8 weeks,RNA-Seq,100,5833549400,PRJNA631784,SAMN14891798,2618455227,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326380,GSM4547054,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:34:00Z,1,GSM4547054,male,CNT,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773235,6-8 weeks,RNA-Seq,100,5471705800,PRJNA631784,SAMN14891797,2506709397,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326381,GSM4547055,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:44:00Z,1,GSM4547055,male,CNT,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773236,6-8 weeks,RNA-Seq,100,5214199600,PRJNA631784,SAMN14891796,2378679570,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326382,GSM4547056,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:34:00Z,1,GSM4547056,male,CNT,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773237,6-8 weeks,RNA-Seq,100,5281367300,PRJNA631784,SAMN14891795,2420900008,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326383,GSM4547057,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:32:00Z,1,GSM4547057,male,CNT,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773238,6-8 weeks,RNA-Seq,100,5990108000,PRJNA631784,SAMN14891794,2685352203,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326384,GSM4547058,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:37:00Z,1,GSM4547058,male,CNT,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773239,6-8 weeks,RNA-Seq,100,4650939600,PRJNA631784,SAMN14891793,2058472995,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326385,GSM4547059,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:44:00Z,1,GSM4547059,male,DCT,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773240,6-8 weeks,RNA-Seq,100,5732659000,PRJNA631784,SAMN14891792,2511957786,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326386,GSM4547060,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:32:00Z,1,GSM4547060,male,DCT,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773241,6-8 weeks,RNA-Seq,100,5540672900,PRJNA631784,SAMN14891791,2469265126,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326387,GSM4547061,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:36:00Z,1,GSM4547061,male,DCT,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773242,6-8 weeks,RNA-Seq,100,5442341900,PRJNA631784,SAMN14891790,2412127474,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326388,GSM4547062,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:32:00Z,1,GSM4547062,male,DCT,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773243,6-8 weeks,RNA-Seq,100,5409227500,PRJNA631784,SAMN14891789,2378739772,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326389,GSM4547063,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:39:00Z,1,GSM4547063,male,DCT,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773244,6-8 weeks,RNA-Seq,100,6532656900,PRJNA631784,SAMN14891788,2827778152,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326390,GSM4547064,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:52:00Z,1,GSM4547064,male,DCT,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773245,6-8 weeks,RNA-Seq,100,4877918600,PRJNA631784,SAMN14891787,2304542477,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326391,GSM4547065,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:45:00Z,1,GSM4547065,male,MTAL,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773246,6-8 weeks,RNA-Seq,100,5699374700,PRJNA631784,SAMN14891786,2684917084,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326392,GSM4547066,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:31:00Z,1,GSM4547066,male,MTAL,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773247,6-8 weeks,RNA-Seq,100,5117199400,PRJNA631784,SAMN14891785,2456450363,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326393,GSM4547067,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:40:00Z,1,GSM4547067,male,MTAL,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773248,6-8 weeks,RNA-Seq,100,4597434900,PRJNA631784,SAMN14891784,2201878197,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326394,GSM4547068,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:24:00Z,1,GSM4547068,male,MTAL,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773249,6-8 weeks,RNA-Seq,100,5305820800,PRJNA631784,SAMN14891783,2501019959,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326395,GSM4547069,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:31:00Z,1,GSM4547069,male,MTAL,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
