Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,celltype_identifier,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,source_name,SRA Study
SRR3200965,p29,RNA-Seq,51,56092707,PRJNA314132,SAMN04529170,58650884,sympathetic neuronal cells,Noradrenergic2,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1610775,GSM2079318,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T18:39:00Z,1,GSM2079318,male,thoracic ganglion,SRP071085
SRR3200992,p38,RNA-Seq,51,95393613,PRJNA314132,SAMN04529254,102373182,sympathetic neuronal cells,Unclassified,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1610800,GSM2079342,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T18:25:00Z,1,GSM2079342,male,thoracic ganglion,SRP071085
SRR3200765,p11,RNA-Seq,51,84781227,PRJNA314132,SAMN04529099,79332806,sympathetic neuronal cells,Noradrenergic3,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX1610584,GSM2079127,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:18:00Z,1,GSM2079127,female,thoracic ganglion,SRP071085
SRR3200766,p11,RNA-Seq,51,100876113,PRJNA314132,SAMN04529100,93109822,sympathetic neuronal cells,Noradrenergic4,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX1610585,GSM2079128,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:18:00Z,1,GSM2079128,female,thoracic ganglion,SRP071085
SRR3200767,p11,RNA-Seq,51,55969185,PRJNA314132,SAMN04529101,52834081,sympathetic neuronal cells,Unclassified,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX1610586,GSM2079129,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:19:00Z,1,GSM2079129,female,thoracic ganglion,SRP071085
SRR3200768,p11,RNA-Seq,51,72360177,PRJNA314132,SAMN04529102,67481342,sympathetic neuronal cells,Noradrenergic5,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX1610587,GSM2079130,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:18:00Z,1,GSM2079130,female,thoracic ganglion,SRP071085
SRR3200769,p11,RNA-Seq,51,82245507,PRJNA314132,SAMN04529103,76694311,sympathetic neuronal cells,Noradrenergic3,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1610588,GSM2079131,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:18:00Z,1,GSM2079131,female,thoracic ganglion,SRP071085
SRR3200770,p11,RNA-Seq,51,145400184,PRJNA314132,SAMN04529104,132426079,sympathetic neuronal cells,Noradrenergic3,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX1610589,GSM2079132,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:18:00Z,1,GSM2079132,female,thoracic ganglion,SRP071085
SRR3200771,p11,RNA-Seq,51,70045287,PRJNA314132,SAMN04529105,65704896,sympathetic neuronal cells,Noradrenergic3,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX1610590,GSM2079133,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:18:00Z,1,GSM2079133,female,thoracic ganglion,SRP071085
SRR3200772,p11,RNA-Seq,51,68912475,PRJNA314132,SAMN04529106,64826973,sympathetic neuronal cells,Noradrenergic3,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1610591,GSM2079134,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:18:00Z,1,GSM2079134,female,thoracic ganglion,SRP071085
SRR3200773,p11,RNA-Seq,51,78434022,PRJNA314132,SAMN04529107,73533763,sympathetic neuronal cells,Noradrenergic3,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX1610592,GSM2079135,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:18:00Z,1,GSM2079135,female,thoracic ganglion,SRP071085
SRR3200774,p11,RNA-Seq,51,105144507,PRJNA314132,SAMN04529108,97328510,sympathetic neuronal cells,Noradrenergic5,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX1610593,GSM2079136,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:18:00Z,1,GSM2079136,female,thoracic ganglion,SRP071085
SRR3200775,p31,RNA-Seq,51,63538962,PRJNA314132,SAMN04529109,65590097,sympathetic neuronal cells,Unclassified,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1610594,GSM2079137,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:18:00Z,1,GSM2079137,female,thoracic ganglion,SRP071085
SRR3200776,p31,RNA-Seq,51,69066444,PRJNA314132,SAMN04529110,72312087,sympathetic neuronal cells,Noradrenergic3,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX1610595,GSM2079138,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:18:00Z,1,GSM2079138,female,thoracic ganglion,SRP071085
SRR3200777,p31,RNA-Seq,51,78897357,PRJNA314132,SAMN04529111,81611145,sympathetic neuronal cells,Unclassified,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1610596,GSM2079139,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:18:00Z,1,GSM2079139,female,thoracic ganglion,SRP071085
SRR3200778,p31,RNA-Seq,51,83081601,PRJNA314132,SAMN04529112,86954557,sympathetic neuronal cells,Noradrenergic5,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX1610597,GSM2079140,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:18:00Z,1,GSM2079140,female,thoracic ganglion,SRP071085
SRR3200779,p31,RNA-Seq,51,77678559,PRJNA314132,SAMN04529113,81324650,sympathetic neuronal cells,Noradrenergic3,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX1610598,GSM2079141,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:18:00Z,1,GSM2079141,female,thoracic ganglion,SRP071085
SRR3200780,p31,RNA-Seq,51,93893448,PRJNA314132,SAMN04529114,97933569,sympathetic neuronal cells,Noradrenergic3,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1610599,GSM2079142,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:18:00Z,1,GSM2079142,female,thoracic ganglion,SRP071085
SRR3200781,p31,RNA-Seq,51,62153700,PRJNA314132,SAMN04529115,65179220,sympathetic neuronal cells,Noradrenergic3,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1610600,GSM2079143,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:18:00Z,1,GSM2079143,female,thoracic ganglion,SRP071085
SRR3200782,p31,RNA-Seq,51,79117677,PRJNA314132,SAMN04529142,82834826,sympathetic neuronal cells,Noradrenergic5,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1610601,GSM2079144,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:16:00Z,1,GSM2079144,female,thoracic ganglion,SRP071085
SRR3200783,p31,RNA-Seq,51,93246666,PRJNA314132,SAMN04529143,97336399,sympathetic neuronal cells,Noradrenergic2,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1610602,GSM2079145,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:16:00Z,1,GSM2079145,female,thoracic ganglion,SRP071085
SRR3200784,p31,RNA-Seq,51,72209625,PRJNA314132,SAMN04529144,74651405,sympathetic neuronal cells,Unclassified,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1610603,GSM2079146,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:16:00Z,1,GSM2079146,female,thoracic ganglion,SRP071085
SRR3200785,p31,RNA-Seq,51,87380748,PRJNA314132,SAMN04529145,90813261,sympathetic neuronal cells,Noradrenergic3,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1610604,GSM2079147,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:14:00Z,1,GSM2079147,female,thoracic ganglion,SRP071085
SRR3200789,p31,RNA-Seq,51,67565667,PRJNA314132,SAMN04529151,70361193,sympathetic neuronal cells,Noradrenergic3,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX1610608,GSM2079151,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:14:00Z,1,GSM2079151,female,thoracic ganglion,SRP071085
SRR3200790,p31,RNA-Seq,51,89585376,PRJNA314132,SAMN04529152,93222769,sympathetic neuronal cells,Noradrenergic3,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1610609,GSM2079152,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:14:00Z,1,GSM2079152,female,thoracic ganglion,SRP071085
SRR3200791,p31,RNA-Seq,51,60087282,PRJNA314132,SAMN04529146,62503423,sympathetic neuronal cells,Unclassified,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1610610,GSM2079153,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:14:00Z,1,GSM2079153,female,thoracic ganglion,SRP071085
SRR3200795,p31,RNA-Seq,51,78465438,PRJNA314132,SAMN04529305,81513247,sympathetic neuronal cells,Unclassified,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1610614,GSM2079157,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:13:00Z,1,GSM2079157,female,thoracic ganglion,SRP071085
SRR3200796,p31,RNA-Seq,51,97355481,PRJNA314132,SAMN04529306,101100246,sympathetic neuronal cells,Noradrenergic5,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1610615,GSM2079158,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:13:00Z,1,GSM2079158,female,thoracic ganglion,SRP071085
SRR3200798,p31,RNA-Seq,51,86404353,PRJNA314132,SAMN04529308,89427959,sympathetic neuronal cells,Noradrenergic3,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX1610617,GSM2079160,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:14:00Z,1,GSM2079160,female,thoracic ganglion,SRP071085
SRR3200806,p31,RNA-Seq,51,52251132,PRJNA314132,SAMN04529316,54624987,sympathetic neuronal cells,Unclassified,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX1610625,GSM2079168,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:10:00Z,1,GSM2079168,female,thoracic ganglion,SRP071085
SRR3200807,p31,RNA-Seq,51,68625906,PRJNA314132,SAMN04529317,71734629,sympathetic neuronal cells,Noradrenergic2,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX1610626,GSM2079169,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:10:00Z,1,GSM2079169,female,thoracic ganglion,SRP071085
SRR3200808,p31,RNA-Seq,51,48466473,PRJNA314132,SAMN04529318,50827307,sympathetic neuronal cells,Noradrenergic3,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX1610627,GSM2079170,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:10:00Z,1,GSM2079170,female,thoracic ganglion,SRP071085
SRR3200809,p31,RNA-Seq,51,49901409,PRJNA314132,SAMN04529319,52538645,sympathetic neuronal cells,Noradrenergic2,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX1610628,GSM2079171,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:09:00Z,1,GSM2079171,female,thoracic ganglion,SRP071085
SRR3200810,p31,RNA-Seq,51,63559719,PRJNA314132,SAMN04529320,66452073,sympathetic neuronal cells,Noradrenergic3,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1610629,GSM2079172,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:09:00Z,1,GSM2079172,female,thoracic ganglion,SRP071085
SRR3200811,p31,RNA-Seq,51,60787614,PRJNA314132,SAMN04529321,63705219,sympathetic neuronal cells,Noradrenergic3,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX1610630,GSM2079173,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:09:00Z,1,GSM2079173,female,thoracic ganglion,SRP071085
SRR3200812,p31,RNA-Seq,51,67622328,PRJNA314132,SAMN04529322,70706920,sympathetic neuronal cells,Unclassified,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1610631,GSM2079174,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:09:00Z,1,GSM2079174,female,thoracic ganglion,SRP071085
SRR3200813,p31,RNA-Seq,51,69393813,PRJNA314132,SAMN04529323,72280399,sympathetic neuronal cells,Noradrenergic3,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX1610632,GSM2079175,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:09:00Z,1,GSM2079175,female,thoracic ganglion,SRP071085
SRR3200814,p31,RNA-Seq,51,84718242,PRJNA314132,SAMN04529324,88124712,sympathetic neuronal cells,Noradrenergic3,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX1610633,GSM2079176,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:08:00Z,1,GSM2079176,female,thoracic ganglion,SRP071085
SRR3200815,p31,RNA-Seq,51,53629917,PRJNA314132,SAMN04529325,56245029,sympathetic neuronal cells,Noradrenergic3,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX1610634,GSM2079177,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:08:00Z,1,GSM2079177,female,thoracic ganglion,SRP071085
SRR3200816,p31,RNA-Seq,51,86320509,PRJNA314132,SAMN04529326,90230287,sympathetic neuronal cells,Noradrenergic3,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1610635,GSM2079178,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:08:00Z,1,GSM2079178,female,thoracic ganglion,SRP071085
SRR3200817,p31,RNA-Seq,51,61297104,PRJNA314132,SAMN04529328,63957538,sympathetic neuronal cells,Noradrenergic2,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1610636,GSM2079179,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:09:00Z,1,GSM2079179,female,thoracic ganglion,SRP071085
SRR3200818,p31,RNA-Seq,51,60171942,PRJNA314132,SAMN04529329,63121841,sympathetic neuronal cells,Noradrenergic3,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX1610637,GSM2079180,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:09:00Z,1,GSM2079180,female,thoracic ganglion,SRP071085
SRR3200819,p31,RNA-Seq,51,63538095,PRJNA314132,SAMN04529330,66373282,sympathetic neuronal cells,Noradrenergic1,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX1610638,GSM2079181,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:08:00Z,1,GSM2079181,female,thoracic ganglion,SRP071085
SRR3200820,p31,RNA-Seq,51,61555011,PRJNA314132,SAMN04529331,64242248,sympathetic neuronal cells,Noradrenergic3,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX1610639,GSM2079182,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:08:00Z,1,GSM2079182,female,thoracic ganglion,SRP071085
SRR3200821,p31,RNA-Seq,51,51037383,PRJNA314132,SAMN04529332,53893118,sympathetic neuronal cells,Ach1,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1610640,GSM2079183,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:08:00Z,1,GSM2079183,female,thoracic ganglion,SRP071085
SRR3200822,p31,RNA-Seq,51,15890019,PRJNA314132,SAMN04529116,17004986,sympathetic neuronal cells,Unclassified,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX1610641,GSM2079184,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:08:00Z,1,GSM2079184,female,thoracic ganglion,SRP071085
SRR3200823,p31,RNA-Seq,51,52070898,PRJNA314132,SAMN04529327,54420263,sympathetic neuronal cells,Noradrenergic5,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX1610642,GSM2079185,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:08:00Z,1,GSM2079185,female,thoracic ganglion,SRP071085
SRR3200824,p31,RNA-Seq,51,44676000,PRJNA314132,SAMN04529117,46700705,sympathetic neuronal cells,Noradrenergic3,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX1610643,GSM2079186,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-28T00:00:00Z,2016-03-02T19:08:00Z,1,GSM2079186,female,thoracic ganglion,SRP071085
