"","Run","assay_type","AvgSpotLen","BioSample","Experiment","sample_name","tissue","Strain","title","description"
"SRR12892327","SRR12892327","RNA-Seq",51,"SAMN16543916","SRX9357565","GSM4856424","Kidney glomerulus","C57BL/6J","812s_M21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892328","SRR12892328","RNA-Seq",51,"SAMN16543915","SRX9357566","GSM4856425","Kidney glomerulus","C57BL/6J","299s_M18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892329","SRR12892329","RNA-Seq",51,"SAMN16543914","SRX9357567","GSM4856426","Kidney glomerulus","C57BL/6J","812s_D10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892330","SRR12892330","RNA-Seq",51,"SAMN16543913","SRX9357568","GSM4856427","Kidney glomerulus","C57BL/6J","811s_A14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892331","SRR12892331","RNA-Seq",51,"SAMN16543912","SRX9357569","GSM4856428","Kidney glomerulus","C57BL/6J","196s_K9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892332","SRR12892332","RNA-Seq",51,"SAMN16543911","SRX9357570","GSM4856429","Kidney glomerulus","C57BL/6J","121s_C3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892333","SRR12892333","RNA-Seq",51,"SAMN16544011","SRX9357571","GSM4856430","Kidney glomerulus","C57BL/6J","298s_A19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892334","SRR12892334","RNA-Seq",51,"SAMN16544010","SRX9357572","GSM4856431","Kidney glomerulus","C57BL/6J","294s_E17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892335","SRR12892335","RNA-Seq",51,"SAMN16544009","SRX9357573","GSM4856432","Kidney glomerulus","C57BL/6J","298s_E23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892336","SRR12892336","RNA-Seq",51,"SAMN16544008","SRX9357574","GSM4856433","Kidney glomerulus","C57BL/6J","682s_C1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892337","SRR12892337","RNA-Seq",51,"SAMN16544007","SRX9357575","GSM4856434","Kidney glomerulus","C57BL/6J","682s_F3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892338","SRR12892338","RNA-Seq",51,"SAMN16544006","SRX9357576","GSM4856435","Kidney glomerulus","C57BL/6J","298s_M4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892339","SRR12892339","RNA-Seq",51,"SAMN16544005","SRX9357577","GSM4856436","Kidney glomerulus","C57BL/6J","196s_J10","mouse_glom_single_cell_unbiased_rpkms.txt"
