gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Afferent/Efferent Endothelial	B Cells	CCD_IC	CCD_PC	CNT	Cd4 T Cells	Cd8 T Cells	DCT	Dendritic Cells	Endothelial	Fibroblast	Glomerular Endothelial	IMCD_IC	IMCD_PC	LOH_ATL	LOH_CTAL	LOH_DTL1	LOH_DTL2	LOH_DTL3	LOH_MTAL	Macrophages	Mesangial Cells	Monocytes	NK Cells	OMCD_IC	OMCD_PC	PTS1	PTS2	PTS3	Parietal Endothelial	Pericytes	Podocyte	Satellite Glia	Schwann Cells	Sensory Neurons	Spinal Endothelial	Sympathetic Neurons	VSMC
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	0.0	0.005	0.002	0.0	0.004	0.054	0.04	0.012	0.083	0.031	0.004	0.032	0.0	0.005	0.009	0.033	0.025	0.021	0.011	0.068	0.043	0.021	0.094	0.143	0.018	0.003	0.03	0.024	0.012	0.03	0.0	0.005	0.022	0.024	0.602	0.041	0.323	0.0
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	0.0	0.005	0.002	0.0	0.004	0.054	0.04	0.012	0.083	0.031	0.004	0.032	0.0	0.005	0.009	0.033	0.025	0.021	0.011	0.068	0.043	0.021	0.094	0.143	0.018	0.003	0.03	0.024	0.012	0.03	0.0	0.005	0.022	0.024	0.602	0.041	0.323	0.0
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	0.0	0.005	0.002	0.0	0.004	0.054	0.04	0.012	0.083	0.031	0.004	0.032	0.0	0.005	0.009	0.033	0.025	0.021	0.011	0.068	0.043	0.021	0.094	0.143	0.018	0.003	0.03	0.024	0.012	0.03	0.0	0.005	0.022	0.024	0.602	0.041	0.323	0.0
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	0.094	0.067	0.055	0.04	0.027	0.072	0.055	0.049	0.074	0.071	0.045	0.062	0.05	0.06	0.074	0.061	0.105	0.057	0.023	0.044	0.116	0.099	0.132	0.127	0.05	0.067	0.033	0.041	0.019	0.072	0.071	0.113	0.068	0.08	0.074	0.047	0.036	0.067
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	0.009	0.001	0.048	0.0	0.0	0.001	0.0	0.001	0.002	0.006	0.03	0.003	0.01	0.001	0.003	0.001	0.155	0.041	0.02	0.0	0.002	0.004	0.004	0.003	0.076	0.006	0.061	0.058	0.026	0.05	0.004	0.005	0.111	0.119	0.031	0.016	0.019	0.015
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	0.067	0.034	0.023	0.023	0.014	0.05	0.037	0.03	0.053	0.033	0.041	0.067	0.013	0.018	0.012	0.035	0.027	0.017	0.017	0.029	0.052	0.033	0.024	0.048	0.029	0.013	0.028	0.026	0.03	0.048	0.022	0.281	0.262	0.084	0.133	0.012	0.101	0.027
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	0.067	0.034	0.023	0.023	0.014	0.05	0.037	0.03	0.053	0.033	0.041	0.067	0.013	0.018	0.012	0.035	0.027	0.017	0.017	0.029	0.052	0.033	0.024	0.048	0.029	0.013	0.028	0.026	0.03	0.048	0.022	0.281	0.262	0.084	0.133	0.012	0.101	0.027
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	0.067	0.034	0.023	0.023	0.014	0.05	0.037	0.03	0.053	0.033	0.041	0.067	0.013	0.018	0.012	0.035	0.027	0.017	0.017	0.029	0.052	0.033	0.024	0.048	0.029	0.013	0.028	0.026	0.03	0.048	0.022	0.281	0.262	0.084	0.133	0.012	0.101	0.027
